"","participant_num","T_start","T_end","Duration__in_seconds_","Affiliation","PrefCand","PrefStrength","PrefStrengthRep","WinProb","WinProbRep","FraudProb","FraudProbMap","DeltaFraudProb","Map","MapMatchPrefer","age.x","state.x","StartDate","EndDate","Duration_inSeconds_","RecordedDate","consent","affiliation","affiliation_4_TEXT","vote","PrefCand_election_day","preferred_candidate_3_TEXT","PrefStrength_election_day","PrefCand_present","preferred_now_3_TEXT","PrefStrength_present","WinCount","WinCount_confidence","WinElectoral","WinElectoral_confidence","WinFraudless","WinFraudless_confidence","PopVoteShareBiden","PopVoteShareBidenNoFraud","NextPresident","NextPresidentConf","attention_check_4","fraud_prob_order_B_T_1","fraud_prob_order_B_T_2","fraud_prob_order_T_B_1","fraud_prob_order_T_B_2","FraudPercent","fraud_benefit_T_B_1","fraud_benefit_B_T_1","FraudActivities","FraudActivities_free_text","ImpactElectoralManipulationPreElection","ImpactVoteFraud","ImpactBallotFraud","ImpactMailFraud","ImpactElectronicSystems","ImpactMisrecording","ImpactMisreporting","ImpactSocialMediaFalseNews","ImpactRightMediaFalseNews","ImpactLeftMediaFalseNews","ImpactNewsAggregFalseNews","fraud_type_ben_T_B_5","fraud_type_ben_T_B_6","fraud_type_ben_T_B_7","fraud_type_ben_T_B_8","fraud_type_ben_T_B_9","fraud_type_ben_T_B_10","fraud_type_ben_T_B_11","fraud_type_ben_T_B_13","fraud_type_ben_T_B_2","fraud_type_ben_T_B_3","fraud_type_ben_T_B_4","fraud_type_ben_B_T_5","fraud_type_ben_B_T_6","fraud_type_ben_B_T_7","fraud_type_ben_B_T_8","fraud_type_ben_B_T_9","fraud_type_ben_B_T_10","fraud_type_ben_B_T_11","fraud_type_ben_B_T_13","fraud_type_ben_B_T_2","fraud_type_ben_B_T_3","fraud_type_ben_B_T_4","citizenship","gender","age.y","state.y","order","entry_num","exclude","exclude_reason","FraudProbCatBiden","FraudProbCatTrump","Fraudbenefitrump","BenefitRightMediaFalseNews","BenefitLeftMediaFalseNews","BenefitNewsAggregFalseNews","BenefitElectoralManipulationPreElection","BenefitVoteFraud","BenefitBallotFraud","BenefitMailFraud","BenefitElectronicSystems","BenefitMisrecording","BenefitMisreporting","BenefitSocialMediaFalseNews","PopVoteShareBidenChange","original_other"
"11",13,"20201105T060935","20201105T061043",68,"Ind","Dem",71,-71,81,19,0,0,0,"Dem",TRUE,35,"Virginia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",14,"20201104T191517","20201104T191748",151,"Ind","Dem",82,-82,73,27,20,18,-2,"Dem",TRUE,61,"Nebraska","20210120T082050","20210120T082732",402,2021-01-20 08:27:32,"Yes","Ind",NA,"Yes","Dem",NA,91,"Dem",NA,96,"Joe Biden",92,"Joe Biden",96,"Dem",88,42,43,"Joe Biden",98,100,NA,NA,"Unlikely","Unlikely",3,"31",NA,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes",NA,5,1,0,6,0,0,0,3,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","45","51","48","49","53","51","65","63","41","45","Yes","Female",61,"Nebraska",879,1,FALSE,NA,"Unlikely","Unlikely",69,63,41,45,61,45,51,48,49,53,51,65,1,FALSE
"13",15,"20201105T075138","20201105T075300",81,"Ind","Dem",100,-100,92,8,9,1,-8,"Dem",TRUE,39,"Pennsylvania","20210119T233216","20210119T233646",270,2021-01-19 23:36:47,"Yes","Ind",NA,"Yes","Dem",NA,99,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,54,54,"Joe Biden",100,100,NA,NA,"Likely","Unlikely",1,NA,100,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Mis-recording of votes by state vote-counters and state electoral officials
,Mis-reporting of final vote counts by state electoral officials,Social media campaigns spreading false information,False news stories by ""right-wing"" media",NA,81,3,4,3,4,4,2,94,92,10,15,0,42,40,43,44,41,43,0,0,100,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",39,"Pennsylvania",322,1,FALSE,NA,"Unlikely","Likely",100,100,0,91,100,58,60,57,56,59,57,100,0,FALSE
"14",16,"20201105T070024","20201105T070302",157,"Rep","Rep",100,100,91,91,100,0,-100,"Rep",TRUE,43,"Tennessee","20210120T074725","20210120T075824",658,2021-01-20 07:58:24,"Yes","Rep",NA,"Yes","Rep",NA,100,"Rep",NA,100,"Donald Trump",100,"Joe Biden",0,"Rep",100,75,84,"Joe Biden",29,100,NA,NA,"Extremely likely","Extremely likely",62,"100",NA,"Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Mis-recording of votes by state vote-counters and state electoral officials
,Mis-reporting of final vote counts by state electoral officials",NA,80,100,100,100,100,100,100,100,49,80,100,100,100,100,100,100,100,100,100,51,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",43,"Tennessee",837,1,FALSE,NA,"Extremely likely","Extremely likely",0,49,0,0,0,0,0,0,0,0,0,0,9,FALSE
"15",17,"20201104T195001","20201104T195126",84,"Rep","Rep",100,100,40,40,100,100,0,"Rep",TRUE,48,"Louisiana","20210119T220353","20210119T220959",365,2021-01-19 22:09:59,"Yes","Rep",NA,"Yes","Rep",NA,100,"Rep",NA,100,"Joe Biden",100,"Joe Biden",100,"Rep",100,54,40,"Joe Biden",100,100,"Extremely likely","Extremely unlikely",NA,NA,25,NA,0,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Social media campaigns spreading false information",NA,100,85,100,100,78,0,0,0,0,0,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","51","50","50","49","50","25","Yes","Male",48,"Louisiana",191,1,FALSE,NA,"Extremely likely","Extremely unlikely",0,49,50,25,0,0,0,0,0,51,50,50,-14,FALSE
"16",18,"20201104T200046","20201104T200305",139,"Dem","Dem",96,-96,53,47,30,10,-20,"Rep",FALSE,24,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",19,"20201105T045942","20201105T050109",87,"Rep","Rep",100,100,30,30,100,100,0,"Dem",FALSE,30,"New York","20210120T051821","20210120T052131",189,2021-01-20 05:21:32,"Yes","Rep",NA,"Yes","Rep",NA,100,"Rep",NA,100,"Joe Biden",0,"Joe Biden",0,"Rep",100,40,35,"Joe Biden",80,100,NA,NA,"Extremely unlikely","Extremely likely",20,"100",NA,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Mis-recording of votes by state vote-counters and state electoral officials
,Social media campaigns spreading false information,False news stories by ""left-wing"" media,False news stories by news aggregator services (e.g., Reuters, Allied Press)",NA,39,28,69,91,92,28,12,71,8,100,100,99,100,100,100,100,100,100,100,0,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",33,"New York",542,1,FALSE,NA,"Extremely likely","Extremely unlikely",0,100,0,0,1,0,0,0,0,0,0,0,-5,FALSE
"18",20,"20201105T073925","20201105T074059",93,"Dem","Dem",100,-100,100,0,0,0,0,"Dem",TRUE,52,"Colorado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",21,"20201105T060822","20201105T061209",226,"Ind","Other",20,NA,0,NA,15,82,67,"Rep",NA,31,"California","20210120T082742","20210120T083346",364,2021-01-20 08:33:47,"Yes","Ind",NA,"Yes","Other","Jo Jerguson",18,"Other","Kanye West",10,"Joe Biden",99,"Joe Biden",100,"Dem",99,58,59,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Extremely unlikely",5,NA,32,"Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Mis-recording of votes by state vote-counters and state electoral officials
",NA,0,0,3,4,4,4,5,0,0,0,0,74,70,66,67,72,71,64,65,35,71,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",31,"California",885,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",32,65,29,40,26,30,34,33,28,29,36,35,1,TRUE
"20",22,"20201104T193339","20201104T193835",296,"Dem","Dem",81,-81,91,9,82,81,-1,"Rep",FALSE,45,"Maryland","20210120T060313","20210120T060930",377,2021-01-20 06:09:31,"Yes","Dem",NA,"Yes","Dem",NA,80,"Dem",NA,90,"Joe Biden",70,"Joe Biden",70,"Dem",80,80,70,"Joe Biden",80,100,NA,NA,"Unlikely","Likely",70,NA,80,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes,Tampering with electronic voting systems,Social media campaigns spreading false information,False news stories by ""left-wing"" media",NA,91,84,73,83,73,87,90,70,73,91,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","82","61","83","74","65","67","86","67","78","69","Yes","Male",45,"Maryland",615,1,FALSE,NA,"Likely","Unlikely",80,67,78,69,81,82,61,83,74,65,67,86,-10,FALSE
"21",23,"20201104T185036","20201104T185224",107,"Ind","Dem",100,-100,90,10,0,80,80,"Rep",FALSE,66,"Florida","20210120T051315","20210120T051721",245,2021-01-20 05:17:21,"Yes","Ind",NA,"No","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,55,55,"Joe Biden",100,100,"Extremely unlikely","Extremely unlikely",NA,NA,0,NA,100,"Social media campaigns spreading false information,False news stories by ""right-wing"" media",NA,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",66,"Florida",536,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",100,100,50,50,100,100,100,100,100,100,100,100,0,FALSE
"22",24,"20201104T205801","20201104T205904",62,"Dem","Dem",90,-90,65,35,17,68,51,"Rep",FALSE,34,"Michigan","20210120T082106","20210120T082347",160,2021-01-20 08:23:48,"Yes","Dem",NA,"Yes","Dem",NA,82,"Dem",NA,96,"Joe Biden",92,"Joe Biden",95,"Dem",94,58,58,"Joe Biden",100,100,"Extremely unlikely","Extremely unlikely",NA,NA,2,"52",NA,"Mail-in ballot fraud
,Tampering with electronic voting systems",NA,0,0,0,2,3,0,0,39,74,1,18,51,53,52,52,52,52,52,41,5,52,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",34,"Michigan",877,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",48,95,48,59,49,47,48,48,48,48,48,59,0,FALSE
"23",25,"20201104T184715","20201104T184929",133,"Dem","Dem",100,-100,75,25,40,50,10,"Rep",FALSE,34,"Idaho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",26,"20201105T073951","20201105T074152",121,"Ind","Rep",91,91,9,9,100,91,-9,"Rep",TRUE,48,"Nevada","20210120T085400","20210120T085904",304,2021-01-20 08:59:05,"Yes","Ind",NA,"Yes","Rep",NA,100,"Rep",NA,100,"Don't know",50,"Don't know",51,"Rep",100,72,80,"Joe Biden",30,100,NA,NA,"Extremely likely","Extremely likely",61,"100",NA,"Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Social media campaigns spreading false information",NA,69,64,100,100,100,100,100,86,25,100,100,100,100,100,100,100,100,100,100,10,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",48,"Nevada",916,1,FALSE,NA,"Extremely likely","Extremely likely",0,90,0,0,0,0,0,0,0,0,0,0,8,FALSE
"25",27,"20201104T195821","20201104T202059",1357,"Rep","Rep",92,92,7,7,0,0,0,"Rep",TRUE,65,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",28,"20201104T234930","20201104T235218",167,"Dem","Dem",100,-100,80,20,60,55,-5,"Dem",TRUE,30,"Arizona","20210119T235925","20210120T000705",459,2021-01-20 00:07:05,"Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,65,75,"Joe Biden",100,100,"Extremely unlikely","Likely",NA,NA,5,"20",NA,"Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Mis-reporting of final vote counts by state electoral officials,Social media campaigns spreading false information,False news stories by ""right-wing"" media,False news stories by ""left-wing"" media,False news stories by news aggregator services (e.g., Reuters, Allied Press)",NA,40,52,52,59,67,56,63,66,70,71,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","78","83","83","76","75","79","95","89","91","91","Yes","Male",30,"Arizona",341,1,FALSE,NA,"Extremely unlikely","Likely",80,89,91,91,79,78,83,83,76,75,79,95,10,FALSE
"27",29,"20201105T071846","20201105T072023",96,"Dem","Dem",100,-100,100,0,0,0,0,"Dem",TRUE,70,"Florida","20210120T081532","20210120T081931",239,2021-01-20 08:19:32,"Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,100,100,"Joe Biden",100,100,"Extremely unlikely","Extremely unlikely",NA,NA,0,"51",NA,"False news stories by ""right-wing"" media,Other (please explain)
","none",0,0,0,0,0,0,0,67,69,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","51","51","51","51","51","51","51","51","51","52","Yes","Female",70,"Florida",871,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",49,51,51,52,51,51,51,51,51,51,51,51,0,FALSE
"28",30,"20201105T053319","20201105T053522",123,"Ind","Dem",100,-100,50,50,3,2,-1,"Rep",FALSE,48,"North Carolina","20210120T062640","20210120T063339",419,2021-01-20 06:33:40,"Yes","Ind",NA,"Yes","Dem",NA,91,"Dem",NA,95,"Joe Biden",100,"Joe Biden",100,"Dem",100,52,52,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Extremely unlikely",0,NA,50,"Vote buying / voter impersonation / misuse of proxy votes,Social media campaigns spreading false information",NA,0,0,0,0,0,0,0,51,17,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","51","51","51","51","51","51","89","51","51","51","Yes","Female",48,"North Carolina",666,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",50,51,51,51,51,51,51,51,51,51,51,89,0,FALSE
