"","X","participant_num","T_start","T_end","Duration__in_seconds_","Affiliation","PrefCand","PrefStrength","PrefStrengthRep","WinProb","WinProbRep","FraudProb","FraudProbMap","DeltaFraudProb","Map","MapMatchPrefer","age.x","state.x","StartDate","EndDate","Duration_inSeconds_","RecordedDate","consent","affiliation","affiliation_4_TEXT","vote","PrefCand_election_day","preferred_candidate_3_TEXT","PrefStrength_election_day","PrefCand_present","preferred_now_3_TEXT","PrefStrength_present","WinCount","WinCount_confidence","WinElectoral","WinElectoral_confidence","WinFraudless","WinFraudless_confidence","PopVoteShareBiden","PopVoteShareBidenNoFraud","NextPresident","NextPresidentConf","attention_check_4","fraud_prob_order_B_T_1","fraud_prob_order_B_T_2","fraud_prob_order_T_B_1","fraud_prob_order_T_B_2","FraudPercent","fraud_benefit_T_B_1","fraud_benefit_B_T_1","FraudActivities","FraudActivities_free_text","ImpactElectoralManipulationPreElection","ImpactVoteFraud","ImpactBallotFraud","ImpactMailFraud","ImpactElectronicSystems","ImpactMisrecording","ImpactMisreporting","ImpactSocialMediaFalseNews","ImpactRightMediaFalseNews","ImpactLeftMediaFalseNews","ImpactNewsAggregFalseNews","fraud_type_ben_T_B_5","fraud_type_ben_T_B_6","fraud_type_ben_T_B_7","fraud_type_ben_T_B_8","fraud_type_ben_T_B_9","fraud_type_ben_T_B_10","fraud_type_ben_T_B_11","fraud_type_ben_T_B_13","fraud_type_ben_T_B_2","fraud_type_ben_T_B_3","fraud_type_ben_T_B_4","fraud_type_ben_B_T_5","fraud_type_ben_B_T_6","fraud_type_ben_B_T_7","fraud_type_ben_B_T_8","fraud_type_ben_B_T_9","fraud_type_ben_B_T_10","fraud_type_ben_B_T_11","fraud_type_ben_B_T_13","fraud_type_ben_B_T_2","fraud_type_ben_B_T_3","fraud_type_ben_B_T_4","citizenship","gender","age.y","state.y","order","entry_num","exclude","exclude_reason","FraudProbCatBiden","FraudProbCatTrump","Fraudbenefitrump","BenefitRightMediaFalseNews","BenefitLeftMediaFalseNews","BenefitNewsAggregFalseNews","BenefitElectoralManipulationPreElection","BenefitVoteFraud","BenefitBallotFraud","BenefitMailFraud","BenefitElectronicSystems","BenefitMisrecording","BenefitMisreporting","BenefitSocialMediaFalseNews","PopVoteShareBidenChange","original_other"
"11",22,24,"20201104T205801","20201104T205904",62,"Dem","Dem",90,-90,65,35,17,68,51,"Rep",FALSE,34,"Michigan","20210120T082106","20210120T082347",160,"2021-01-20 08:23:48","Yes","Dem",NA,"Yes","Dem",NA,82,"Dem",NA,96,"Joe Biden",92,"Joe Biden",95,"Dem",94,58,58,"Joe Biden",100,100,"Extremely unlikely","Extremely unlikely",NA,NA,2,52,NA,"Mail-in ballot fraud
,Tampering with electronic voting systems",NA,0,0,0,2,3,0,0,39,74,1,18,51,53,52,52,52,52,52,41,5,52,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",34,"Michigan",877,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",48,95,48,59,49,47,48,48,48,48,48,59,0,FALSE
"12",24,26,"20201105T073951","20201105T074152",121,"Ind","Rep",91,91,9,9,100,91,-9,"Rep",TRUE,48,"Nevada","20210120T085400","20210120T085904",304,"2021-01-20 08:59:05","Yes","Ind",NA,"Yes","Rep",NA,100,"Rep",NA,100,"Don't know",50,"Don't know",51,"Rep",100,72,80,"Joe Biden",30,100,NA,NA,"Extremely likely","Extremely likely",61,100,NA,"Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Social media campaigns spreading false information",NA,69,64,100,100,100,100,100,86,25,100,100,100,100,100,100,100,100,100,100,10,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",48,"Nevada",916,1,FALSE,NA,"Extremely likely","Extremely likely",0,90,0,0,0,0,0,0,0,0,0,0,8,FALSE
"13",26,28,"20201104T234930","20201104T235218",167,"Dem","Dem",100,-100,80,20,60,55,-5,"Dem",TRUE,30,"Arizona","20210119T235925","20210120T000705",459,"2021-01-20 00:07:05","Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,65,75,"Joe Biden",100,100,"Extremely unlikely","Likely",NA,NA,5,20,NA,"Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Mis-reporting of final vote counts by state electoral officials,Social media campaigns spreading false information,False news stories by ""right-wing"" media,False news stories by ""left-wing"" media,False news stories by news aggregator services (e.g., Reuters, Allied Press)",NA,40,52,52,59,67,56,63,66,70,71,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,78,83,83,76,75,79,95,89,91,91,"Yes","Male",30,"Arizona",341,1,FALSE,NA,"Extremely unlikely","Likely",80,89,91,91,79,78,83,83,76,75,79,95,10,FALSE
"14",27,29,"20201105T071846","20201105T072023",96,"Dem","Dem",100,-100,100,0,0,0,0,"Dem",TRUE,70,"Florida","20210120T081532","20210120T081931",239,"2021-01-20 08:19:32","Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,100,100,"Joe Biden",100,100,"Extremely unlikely","Extremely unlikely",NA,NA,0,51,NA,"False news stories by ""right-wing"" media,Other (please explain)
","none",0,0,0,0,0,0,0,67,69,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,51,51,51,51,51,51,51,51,51,52,"Yes","Female",70,"Florida",871,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",49,51,51,52,51,51,51,51,51,51,51,51,0,FALSE
"15",28,30,"20201105T053319","20201105T053522",123,"Ind","Dem",100,-100,50,50,3,2,-1,"Rep",FALSE,48,"North Carolina","20210120T062640","20210120T063339",419,"2021-01-20 06:33:40","Yes","Ind",NA,"Yes","Dem",NA,91,"Dem",NA,95,"Joe Biden",100,"Joe Biden",100,"Dem",100,52,52,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Extremely unlikely",0,NA,50,"Vote buying / voter impersonation / misuse of proxy votes,Social media campaigns spreading false information",NA,0,0,0,0,0,0,0,51,17,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,51,51,51,51,51,51,89,51,51,51,"Yes","Female",48,"North Carolina",666,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",50,51,51,51,51,51,51,51,51,51,51,89,0,FALSE
"16",30,32,"20201105T060903","20201105T061033",89,"Ind","Dem",100,-100,50,50,0,0,0,"Dem",TRUE,42,"South Carolina","20210120T055719","20210120T060053",213,"2021-01-20 06:00:53","Yes","Ind",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,60,60,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Extremely unlikely",0,50,NA,"Mail-in ballot fraud
,Social media campaigns spreading false information,False news stories by ""right-wing"" media",NA,0,0,0,0,0,0,0,51,51,0,0,0,0,0,0,0,0,0,0,0,51,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",42,"South Carolina",602,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",50,100,49,49,100,100,100,100,100,100,100,100,0,FALSE
"17",32,34,"20201104T194631","20201104T194858",147,"Dem","Dem",100,-100,95,5,0,0,0,"Rep",FALSE,72,"Florida","20210120T072924","20210120T073810",526,"2021-01-20 07:38:11","Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,100,100,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Extremely unlikely",0,0,NA,"Electorate manipulation prior to election day,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Mis-recording of votes by state vote-counters and state electoral officials
,Social media campaigns spreading false information,False news stories by ""left-wing"" media",NA,0,0,0,0,0,0,0,51,51,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,51,51,52,54,54,100,100,50,51,"Yes","Female",72,"Florida",797,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",100,100,50,51,100,100,51,51,52,54,54,100,0,FALSE
"18",33,35,"20201104T210601","20201104T211349",467,"Ind","Rep",100,100,50,50,90,90,0,"Dem",FALSE,29,"Virginia","20210119T230610","20210119T231431",500,"2021-01-19 23:14:31","Yes","Ind",NA,"Yes","Rep",NA,90,"Rep",NA,100,"Donald Trump",100,"Donald Trump",100,"Rep",100,60,40,"Joe Biden",100,100,"Extremely likely","Extremely unlikely",NA,NA,30,100,NA,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Mis-recording of votes by state vote-counters and state electoral officials
,Mis-reporting of final vote counts by state electoral officials,Social media campaigns spreading false information,False news stories by ""left-wing"" media,False news stories by news aggregator services (e.g., Reuters, Allied Press)",NA,61,72,69,77,88,75,75,70,14,83,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,8,9,3,10,8,6,64,5,14,"Yes","Male",30,"Virginia",303,1,FALSE,NA,"Extremely likely","Extremely unlikely",0,64,5,14,13,13,8,9,3,10,8,6,-20,FALSE
"19",34,36,"20201104T190647","20201104T190916",148,"Rep","Rep",100,100,70,70,81,81,0,"Dem",FALSE,59,"California","20210119T215901","20210119T220319",257,"2021-01-19 22:03:19","Yes","Rep",NA,"Yes","Rep",NA,100,"Rep",NA,100,"Joe Biden",100,"Joe Biden",100,"Don't know",87,67,44,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Unlikely",10,91,NA,"Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Social media campaigns spreading false information",NA,0,6,13,28,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,19,35,10,1,50,50,51,51,50,50,"Yes","Male",59,"California",165,1,FALSE,NA,"Unlikely","Extremely unlikely",9,51,50,50,50,19,35,10,1,50,50,51,-23,FALSE
"20",37,39,"20201104T185003","20201104T185153",109,"Rep","Rep",100,100,49,49,50,50,0,"Rep",TRUE,46,"Virginia","20210120T072637","20210120T073524",526,"2021-01-20 07:35:25","Yes","Rep",NA,"Yes","Rep",NA,100,"Rep",NA,100,"Joe Biden",50,"Joe Biden",50,"Rep",100,5,78,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Likely",40,NA,0,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Mis-recording of votes by state vote-counters and state electoral officials
,Mis-reporting of final vote counts by state electoral officials",NA,19,79,60,72,81,94,94,100,0,100,54,100,100,100,100,100,100,100,100,50,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",46,"Virginia",790,1,FALSE,NA,"Likely","Extremely unlikely",0,50,0,0,0,0,0,0,0,0,0,0,73,FALSE
"21",41,43,"20201105T033436","20201105T033654",137,"Dem","Dem",100,-100,91,9,0,0,0,"Dem",TRUE,36,"Florida","20210120T021747","20210120T022031",163,"2021-01-20 02:20:31","Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,100,100,"Joe Biden",100,100,"Extremely unlikely","Extremely likely",NA,NA,3,NA,100,"Social media campaigns spreading false information,False news stories by ""right-wing"" media",NA,3,0,0,0,0,0,0,100,100,0,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,100,100,0,51,"Yes","Male",37,"Florida",390,1,FALSE,NA,"Extremely unlikely","Extremely likely",100,100,0,51,0,0,0,0,0,0,0,100,0,FALSE
"22",42,44,"20201104T192833","20201104T192945",71,"Dem","Dem",100,-100,90,10,10,0,-10,"Rep",FALSE,24,"Illinois","20210119T220647","20210119T221038",231,"2021-01-19 22:10:39","Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,48,48,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Extremely unlikely",0,50,NA,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Mis-reporting of final vote counts by state electoral officials,Social media campaigns spreading false information,False news stories by ""left-wing"" media,False news stories by news aggregator services (e.g., Reuters, Allied Press)",NA,0,0,0,0,0,2,0,2,0,0,0,0,50,50,0,0,0,0,0,50,0,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",24,"Illinois",195,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",50,50,100,49,100,50,50,100,100,100,100,100,0,FALSE
"23",44,47,"20201105T044046","20201105T044209",82,"Ind","Rep",60,60,30,30,50,50,0,"Dem",FALSE,29,"Arkansas","20210120T072702","20210120T073127",265,"2021-01-20 07:31:27","Yes","Ind",NA,"No","Rep",NA,90,"Rep",NA,90,"Joe Biden",100,"Joe Biden",100,"Don't know",50,65,30,"Joe Biden",99,100,"Extremely likely","Extremely unlikely",NA,NA,30,99,NA,"Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems",NA,9,67,80,98,88,55,27,14,5,5,5,73,100,100,100,100,82,84,57,0,100,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",29,"Arkansas",784,1,FALSE,NA,"Extremely likely","Extremely unlikely",1,100,0,40,27,0,0,0,0,18,16,43,-35,FALSE
"24",45,48,"20201104T184638","20201104T184807",88,"Dem","Dem",100,-100,53,47,4,3,-1,"Dem",TRUE,37,"Tennessee","20210119T215816","20210119T220237",261,"2021-01-19 22:02:37","Yes","Ind",NA,"Yes","Dem",NA,85,"Dem",NA,96,"Joe Biden",100,"Joe Biden",100,"Dem",100,60,60,"Joe Biden",100,100,"Extremely unlikely","Extremely unlikely",NA,NA,0,NA,51,"Electorate manipulation prior to election day,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Social media campaigns spreading false information,False news stories by ""right-wing"" media,False news stories by ""left-wing"" media",NA,0,0,0,0,0,0,0,73,73,73,0,48,47,49,49,50,49,50,22,13,62,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",37,"Tennessee",162,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",51,87,38,49,52,53,51,51,50,51,50,78,0,FALSE
"25",46,49,"20201105T041313","20201105T042136",502,"Dem","Dem",100,-100,90,10,10,70,60,"Rep",FALSE,26,"Virginia","20210119T215422","20210119T220002",339,"2021-01-19 22:00:03","Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,51,54,"Joe Biden",100,100,NA,NA,"Unlikely","Extremely unlikely",1,NA,52,"Electorate manipulation prior to election day,Social media campaigns spreading false information",NA,60,0,0,0,1,0,0,52,7,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,50,51,51,54,51,51,56,68,48,50,"Yes","Female",26,"Virginia",147,1,FALSE,NA,"Extremely unlikely","Unlikely",52,68,48,50,60,50,51,51,54,51,51,56,3,FALSE
