"","StartDate","EndDate","Duration_inSeconds_","RecordedDate","consent","affiliation","affiliation_4_TEXT","vote","PrefCand_election_day","preferred_candidate_3_TEXT","PrefStrength_election_day","PrefCand_present","preferred_now_3_TEXT","PrefStrength_present","WinCount","WinCount_confidence","WinElectoral","WinElectoral_confidence","WinFraudless","WinFraudless_confidence","PopVoteShareBiden","PopVoteShareBidenNoFraud","NextPresident","NextPresidentConf","attention_check_4","fraud_prob_order_B_T_1","fraud_prob_order_B_T_2","fraud_prob_order_T_B_1","fraud_prob_order_T_B_2","FraudPercent","fraud_benefit_T_B_1","fraud_benefit_B_T_1","FraudActivities","FraudActivities_free_text","ImpactElectoralManipulationPreElection","ImpactVoteFraud","ImpactBallotFraud","ImpactMailFraud","ImpactElectronicSystems","ImpactMisrecording","ImpactMisreporting","ImpactSocialMediaFalseNews","ImpactRightMediaFalseNews","ImpactLeftMediaFalseNews","ImpactNewsAggregFalseNews","fraud_type_ben_T_B_5","fraud_type_ben_T_B_6","fraud_type_ben_T_B_7","fraud_type_ben_T_B_8","fraud_type_ben_T_B_9","fraud_type_ben_T_B_10","fraud_type_ben_T_B_11","fraud_type_ben_T_B_13","fraud_type_ben_T_B_2","fraud_type_ben_T_B_3","fraud_type_ben_T_B_4","fraud_type_ben_B_T_5","fraud_type_ben_B_T_6","fraud_type_ben_B_T_7","fraud_type_ben_B_T_8","fraud_type_ben_B_T_9","fraud_type_ben_B_T_10","fraud_type_ben_B_T_11","fraud_type_ben_B_T_13","fraud_type_ben_B_T_2","fraud_type_ben_B_T_3","fraud_type_ben_B_T_4","citizenship","gender","age","state","order","entry_num","exclude","exclude_reason","participant_num","FraudProbCatBiden","FraudProbCatTrump","Fraudbenefitrump","BenefitRightMediaFalseNews","BenefitLeftMediaFalseNews","BenefitNewsAggregFalseNews","BenefitElectoralManipulationPreElection","BenefitVoteFraud","BenefitBallotFraud","BenefitMailFraud","BenefitElectronicSystems","BenefitMisrecording","BenefitMisreporting","BenefitSocialMediaFalseNews","PopVoteShareBidenChange","original_other"
"11","20210119T214144","20210119T214437",173,2021-01-19 21:44:37,"Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,63,67,"Donald Trump",100,100,NA,NA,"Extremely unlikely","Unlikely",0,"18",NA,"Mail-in ballot fraud
",NA,9,16,18,16,17,5,14,11,99,87,81,15,15,14,18,19,17,26,12,100,72,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",45,"Virginia",17,1,FALSE,NA,976,"Unlikely","Extremely unlikely",82,0,28,38,85,85,86,82,81,83,74,88,4,FALSE
"12","20210119T214023","20210119T214441",258,2021-01-19 21:44:42,"Yes","Other","Socialist","No","Dem",NA,10,"Dem",NA,20,"Joe Biden",100,"Joe Biden",100,"Dem",100,53,53,"Joe Biden",99,100,"Extremely unlikely","Extremely unlikely",NA,NA,1,"50",NA,"Other (please explain)
","I don't think there was widespread fraud, so I didn't have any of these ideas in mind.",81,0,0,0,0,0,0,70,70,35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","51","50","51","51","50","51","95","100","39","50","Yes","Male",32,"California",18,1,FALSE,NA,821,"Extremely unlikely","Extremely unlikely",50,100,39,50,81,51,50,51,51,50,51,95,0,FALSE
"13","20210119T214213","20210119T214455",162,2021-01-19 21:44:56,"Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,51,51,"Joe Biden",100,100,"Extremely unlikely","Extremely unlikely",NA,NA,0,"0",NA,"Electorate manipulation prior to election day,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems",NA,0,0,0,0,0,0,0,0,9,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100","100","100","100","100","100","100","100","100","0","58","Yes","Male",37,"Pennsylvania",19,1,FALSE,NA,1695,"Extremely unlikely","Extremely unlikely",100,100,0,58,100,100,100,100,100,100,100,100,0,FALSE
"14","20210119T214109","20210119T214509",239,2021-01-19 21:45:10,"Yes","Ind",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,75,74,"Joe Biden",100,100,NA,NA,"Extremely likely","Extremely unlikely",0,NA,90,"Social media campaigns spreading false information,False news stories by ""right-wing"" media,Other (please explain)
","Trump throwing questions at the votes before they were even cast.",0,0,0,4,0,0,2,89,100,6,25,50,50,50,28,50,50,50,26,31,54,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",32,"Texas",20,1,FALSE,NA,354,"Extremely unlikely","Extremely likely",90,69,46,50,50,50,50,72,50,50,50,74,-1,FALSE
"15","20210119T214138","20210119T214517",219,2021-01-19 21:45:17,"Yes","Ind",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,55,55,"Joe Biden",100,100,"Extremely unlikely","Extremely unlikely",NA,NA,0,NA,52,"Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Mis-recording of votes by state vote-counters and state electoral officials
,Social media campaigns spreading false information,False news stories by ""right-wing"" media,False news stories by ""left-wing"" media",NA,0,0,0,0,0,0,0,32,45,14,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52","52","59","44","53","55","54","100","100","0","52","Yes","Male",44,"Michigan",21,1,FALSE,NA,63,"Extremely unlikely","Extremely unlikely",52,100,0,52,52,52,59,44,53,55,54,100,0,FALSE
"16","20210119T214135","20210119T214521",226,2021-01-19 21:45:22,"Yes","Dem",NA,"Yes","Dem",NA,71,"Dem",NA,76,"Joe Biden",100,"Joe Biden",83,"Don't know",100,49,50,"Joe Biden",100,100,"Likely","Unlikely",NA,NA,20,"71",NA,"Vote buying / voter impersonation / misuse of proxy votes",NA,0,79,0,0,0,0,14,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50","19","50","50","50","50","50","50","50","50","50","Yes","Male",34,"Louisiana",22,1,FALSE,NA,1207,"Likely","Unlikely",29,50,50,50,50,19,50,50,50,50,50,50,1,TRUE
"17","20210119T214133","20210119T214524",230,2021-01-19 21:45:24,"Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,55,55,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Extremely unlikely",0,NA,50,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Social media campaigns spreading false information",NA,0,0,0,0,0,0,0,1,1,70,0,14,31,38,18,26,51,50,1,0,100,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",38,NA,23,1,FALSE,NA,1224,"Extremely unlikely","Extremely unlikely",50,100,0,50,86,69,62,82,74,49,50,99,0,FALSE
"18","20210119T214151","20210119T214524",212,2021-01-19 21:45:24,"Yes","Ind",NA,"Yes","Dem",NA,87,"Dem",NA,100,"Joe Biden",83,"Joe Biden",88,"Dem",81,88,82,"Joe Biden",83,100,NA,NA,"Likely","Extremely unlikely",6,"11",NA,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,False news stories by ""right-wing"" media",NA,10,40,28,66,2,10,75,86,96,2,16,69,69,23,14,90,69,78,17,27,78,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",35,"Missouri",24,1,FALSE,NA,1674,"Extremely unlikely","Likely",89,73,22,23,31,31,77,86,10,31,22,83,-6,FALSE
"19","20210119T214157","20210119T214524",207,2021-01-19 21:45:25,"Yes","Ind",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,56,56,"Joe Biden",100,100,"Extremely unlikely","Extremely likely",NA,NA,0,NA,100,"Tampering with electronic voting systems,Mis-reporting of final vote counts by state electoral officials,Social media campaigns spreading false information,False news stories by ""right-wing"" media",NA,0,0,0,0,0,0,1,100,100,12,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100","100","92","84","73","51","51","100","100","47","72","Yes","Male",45,"South Dakota",25,1,FALSE,NA,332,"Extremely unlikely","Extremely likely",100,100,47,72,100,100,92,84,73,51,51,100,0,FALSE
"20","20210119T214150","20210119T214526",215,2021-01-19 21:45:26,"Yes","Rep",NA,"Yes","Dem",NA,80,"Dem",NA,80,"Joe Biden",100,"Joe Biden",100,"Rep",51,55,45,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Extremely unlikely",0,"50",NA,"Mail-in ballot fraud
,Social media campaigns spreading false information,False news stories by ""right-wing"" media,False news stories by ""left-wing"" media",NA,0,0,0,0,0,0,0,0,0,0,0,51,51,51,51,51,51,51,51,51,51,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",49,"North Carolina",26,1,FALSE,NA,760,"Extremely unlikely","Extremely unlikely",50,49,49,49,49,49,49,49,49,49,49,49,-10,FALSE
"21","20210119T214216","20210119T214527",190,2021-01-19 21:45:27,"Yes","Ind",NA,"Yes","Dem",NA,4,"Other","literally anyone else",89,"Don't know",30,"Joe Biden",10,"Rep",29,50,50,"Joe Biden",86,100,"Extremely likely","Likely",NA,NA,18,"54",NA,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Mis-recording of votes by state vote-counters and state electoral officials
,Mis-reporting of final vote counts by state electoral officials,Social media campaigns spreading false information,False news stories by ""right-wing"" media,False news stories by ""left-wing"" media,False news stories by news aggregator services (e.g., Reuters, Allied Press)",NA,46,57,72,66,61,58,56,25,89,100,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35","60","75","66","68","62","43","43","34","88","100","Yes","Male",32,"Massachusetts",27,1,FALSE,NA,1573,"Extremely likely","Likely",46,34,88,100,35,60,75,66,68,62,43,43,0,FALSE
"22","20210119T213953","20210119T214531",338,2021-01-19 21:45:31,"Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,80,81,"Joe Biden",100,100,"Unlikely","Unlikely",NA,NA,0,NA,49,"Electorate manipulation prior to election day,Social media campaigns spreading false information",NA,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55","56","57","59","59","61","61","57","53","62","51","Yes","Male",43,"Florida",28,1,FALSE,NA,1174,"Unlikely","Unlikely",49,53,62,51,55,56,57,59,59,61,61,57,1,FALSE
"23","20210119T214147","20210119T214540",233,2021-01-19 21:45:41,"Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,60,60,"Joe Biden",100,100,NA,NA,"Unlikely","Extremely unlikely",0,NA,81,"Social media campaigns spreading false information,False news stories by ""right-wing"" media",NA,0,0,0,0,0,0,0,70,95,2,2,32,46,46,46,42,43,42,4,4,62,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",48,"Missouri",29,1,FALSE,NA,1134,"Extremely unlikely","Unlikely",81,96,38,43,68,54,54,54,58,57,58,96,0,FALSE
"24","20210119T214150","20210119T214548",238,2021-01-19 21:45:48,"Yes","Ind",NA,"No","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",70,55,60,"Joe Biden",100,100,NA,NA,"Likely","Likely",5,"52",NA,"Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems",NA,55,23,44,60,75,19,65,77,83,10,16,56,40,48,56,57,38,38,8,2,57,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",22,"Connecticut",30,1,FALSE,NA,1077,"Likely","Likely",48,98,43,52,44,60,52,44,43,62,62,92,5,FALSE
"25","20210119T214119","20210119T214548",269,2021-01-19 21:45:49,"Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,53,53,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Extremely unlikely",0,NA,90,"Electorate manipulation prior to election day,Tampering with electronic voting systems,Social media campaigns spreading false information,False news stories by ""right-wing"" media",NA,98,0,0,0,12,0,0,95,95,6,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96","50","50","50","97","50","50","98","100","2","96","Yes","Male",26,"Maryland",31,1,FALSE,NA,578,"Extremely unlikely","Extremely unlikely",90,100,2,96,96,50,50,50,97,50,50,98,0,FALSE
"26","20210119T214105","20210119T214554",288,2021-01-19 21:45:55,"Yes","Rep",NA,"Yes","Rep",NA,68,"Rep",NA,32,"Joe Biden",67,"Joe Biden",68,"Rep",63,55,28,"Joe Biden",81,100,NA,NA,"Extremely unlikely","Extremely likely",20,"87",NA,"Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,False news stories by ""left-wing"" media",NA,43,45,70,72,61,54,56,56,20,84,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","14","17","9","13","11","6","22","30","94","50","Yes","Female",59,"California",32,1,FALSE,NA,152,"Extremely likely","Extremely unlikely",13,30,94,50,22,14,17,9,13,11,6,22,-27,FALSE
"27","20210119T214238","20210119T214556",197,2021-01-19 21:45:56,"Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,54,54,"Joe Biden",100,100,"Unlikely","Unlikely",NA,NA,0,NA,50,"Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems",NA,0,0,0,0,0,0,0,3,3,0,4,50,50,50,50,51,51,50,49,50,49,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",29,"Georgia",33,1,FALSE,NA,682,"Unlikely","Unlikely",50,50,51,47,50,50,50,50,49,49,50,51,0,FALSE
"28","20210119T214120","20210119T214608",287,2021-01-19 21:46:08,"Yes","Ind",NA,"Yes","Dem",NA,80,"Dem",NA,89,"Joe Biden",100,"Joe Biden",100,"Dem",100,59,59,"Joe Biden",100,100,"Extremely unlikely","Extremely unlikely",NA,NA,0,"17",NA,"Mis-recording of votes by state vote-counters and state electoral officials
,Social media campaigns spreading false information,False news stories by ""right-wing"" media",NA,0,0,0,0,0,0,0,6,10,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","38","40","58","45","41","53","13","12","91","44","Yes","Female",33,"Texas",34,1,FALSE,NA,110,"Extremely unlikely","Extremely unlikely",83,12,91,44,41,38,40,58,45,41,53,13,0,FALSE
"29","20210119T214239","20210119T214610",210,2021-01-19 21:46:10,"Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,60,60,"Joe Biden",100,100,"Extremely unlikely","Extremely unlikely",NA,NA,0,NA,50,"Other (please explain)
","I do not believe widespread fraud occurred.",0,0,0,0,0,0,0,57,61,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","50","51","50","51","51","51","51","51","51","51","Yes","Male",23,"Ohio",35,1,FALSE,NA,482,"Extremely unlikely","Extremely unlikely",50,51,51,51,51,50,51,50,51,51,51,51,0,FALSE
"30","20210119T214013","20210119T214610",357,2021-01-19 21:46:11,"Yes","Rep",NA,"Yes","Rep",NA,87,"Rep",NA,91,"Donald Trump",91,"Donald Trump",94,"Rep",100,44,22,"Donald Trump",51,100,"Extremely likely","Extremely unlikely",NA,NA,71,NA,10,"Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems",NA,17,65,77,93,94,35,31,0,0,39,16,89,95,95,96,100,76,82,67,40,74,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",56,"California",36,1,FALSE,NA,136,"Extremely likely","Extremely unlikely",10,60,26,43,11,5,5,4,0,24,18,33,-22,FALSE
"31","20210119T214217","20210119T214613",235,2021-01-19 21:46:13,"Yes","Rep",NA,"Yes","Rep",NA,61,"Rep",NA,62,"Joe Biden",69,"Joe Biden",65,"Don't know",50,54,51,"Joe Biden",100,100,"Likely","Extremely unlikely",NA,NA,4,NA,0,"Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Mis-recording of votes by state vote-counters and state electoral officials
,Mis-reporting of final vote counts by state electoral officials",NA,0,0,78,72,72,74,72,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","Yes","Male",37,"New Jersey",37,1,FALSE,NA,1141,"Likely","Extremely unlikely",0,0,0,0,0,0,0,0,0,0,0,0,-3,FALSE
"32","20210119T214115","20210119T214615",300,2021-01-19 21:46:16,"Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,75,75,"Joe Biden",100,100,"Extremely unlikely","Extremely unlikely",NA,NA,0,NA,50,"False news stories by ""right-wing"" media",NA,0,0,0,0,0,0,0,3,7,0,0,51,51,51,51,50,50,49,50,46,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",25,"Maryland",38,1,FALSE,NA,133,"Extremely unlikely","Extremely unlikely",50,54,50,50,49,49,49,49,50,50,51,50,0,FALSE
"33","20210119T214255","20210119T214615",200,2021-01-19 21:46:16,"Yes","Dem",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,100,100,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Extremely unlikely",0,"45",NA,"Social media campaigns spreading false information,False news stories by ""right-wing"" media",NA,0,0,0,0,0,0,0,7,14,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","51","51","51","51","51","51","83","100","25","48","Yes","Male",40,"Arizona",39,1,FALSE,NA,997,"Extremely unlikely","Extremely unlikely",55,100,25,48,51,51,51,51,51,51,51,83,0,FALSE
