"","participant_num","T_start","T_end","Duration__in_seconds_","Affiliation","PrefCand","PrefStrength","PrefStrengthRep","WinProb","WinProbRep","FraudProb","FraudProbMap","DeltaFraudProb","Map","MapMatchPrefer","age","state"
"23",984,"20201104T184657","20201104T184847",109,"Rep","Rep",95,95,20,20,81,15,-66,"Rep",TRUE,28,"South Carolina"
"24",1035,"20201104T184652","20201104T184900",127,"Dem","Dem",100,-100,69,31,44,11,-33,"Dem",TRUE,27,"Oklahoma"
"25",847,"20201104T184703","20201104T184900",116,"Dem","Dem",100,-100,65,35,1,25,24,"Rep",FALSE,51,"Oregon"
"26",1518,"20201104T184733","20201104T184901",87,"Dem","Dem",79,-79,82,18,7,23,16,"Rep",FALSE,37,"Iowa"
"27",132,"20201104T184746","20201104T184904",77,"Ind","Dem",100,-100,75,25,10,75,65,"Rep",FALSE,36,"Ohio"
"28",1113,"20201104T184629","20201104T184912",162,"Dem","Dem",100,-100,85,15,40,19,-21,"Dem",TRUE,35,"New York"
"29",679,"20201104T184810","20201104T184917",67,"Ind","Dem",70,-70,75,25,0,0,0,"Rep",FALSE,NA,NA
"30",1241,"20201104T184802","20201104T184922",80,"Rep","Rep",82,82,24,24,69,64,-5,"Dem",FALSE,26,"Texas"
"31",577,"20201104T184725","20201104T184928",123,"Ind","Dem",100,-100,88,12,51,18,-33,"Dem",TRUE,55,"Pennsylvania"
"32",148,"20201104T184746","20201104T184928",101,"Dem","Dem",100,-100,82,18,5,5,0,"Dem",TRUE,38,"Pennsylvania"
"33",25,"20201104T184715","20201104T184929",133,"Dem","Dem",100,-100,75,25,40,50,10,"Rep",FALSE,34,"Idaho"
"34",374,"20201104T184758","20201104T184939",101,"Rep","Rep",84,84,50,50,11,4,-7,"Rep",TRUE,54,"Georgia"
"35",1074,"20201104T184653","20201104T184940",167,"Ind","Rep",96,96,0,0,19,100,81,"Dem",FALSE,58,"Florida"
"36",1338,"20201104T184747","20201104T184941",114,"Dem","Dem",75,-75,90,10,50,25,-25,"Dem",TRUE,39,"Michigan"
"37",1473,"20201104T184756","20201104T184944",107,"Rep","Rep",80,80,50,50,80,60,-20,"Rep",TRUE,38,"Texas"
"38",201,"20201104T184726","20201104T184946",140,"Ind","Dem",66,-66,60,40,67,65,-2,"Rep",FALSE,58,"New Jersey"
"39",1663,"20201104T184849","20201104T184948",58,"Ind","Rep",100,100,82,82,73,87,14,"Dem",FALSE,27,"Arizona"
"40",704,"20201104T184814","20201104T184948",94,"Ind","Rep",65,65,52,52,50,55,5,"Dem",FALSE,40,"California"
"41",1577,"20201104T184831","20201104T184949",77,"Dem","Dem",100,-100,63,37,32,85,53,"Rep",FALSE,37,"California"
"42",1510,"20201104T184849","20201104T184952",63,"Rep","Rep",99,99,98,98,0,95,95,"Dem",FALSE,35,"California"
"43",822,"20201104T184820","20201104T184952",92,"Ind","Dem",100,-100,61,39,0,71,71,"Rep",FALSE,30,"Massachusetts"
"44",378,"20201104T184637","20201104T185008",210,"Rep","Rep",82,82,42,42,83,88,5,"Rep",TRUE,42,"Texas"
"45",1018,"20201104T184802","20201104T185008",126,"Rep","Rep",100,100,60,60,94,100,6,"Dem",FALSE,46,"Texas"
"46",472,"20201104T184744","20201104T185010",145,"Rep","Rep",100,100,100,100,50,4,-46,"Rep",TRUE,33,"Pennsylvania"
"47",6,"20201104T184822","20201104T185021",118,"Rep","Rep",100,100,81,81,85,80,-5,"Rep",TRUE,34,"California"
"48",1009,"20201104T184804","20201104T185022",138,"Dem","Dem",96,-96,100,0,0,27,27,"Dem",TRUE,32,"California"
"49",1206,"20201104T184722","20201104T185024",181,"Rep","Rep",65,65,35,35,3,2,-1,"Dem",FALSE,44,"Texas"
"50",1049,"20201104T184846","20201104T185031",105,"Ind","Rep",60,60,51,51,81,81,0,"Dem",FALSE,57,"North Carolina"
"51",1568,"20201104T184944","20201104T185040",56,"Rep","Rep",100,100,50,50,91,100,9,"Dem",FALSE,29,"Washington"
"52",1753,"20201104T184727","20201104T185041",194,"Dem","Dem",100,-100,80,20,0,72,72,"Rep",FALSE,41,"Texas"
"53",765,"20201104T184830","20201104T185041",131,"Rep","Rep",100,100,2,2,76,20,-56,"Rep",TRUE,49,"Tennessee"
"54",1616,"20201104T185006","20201104T185058",52,"Dem","Dem",100,-100,73,27,0,65,65,"Rep",FALSE,24,"Massachusetts"
"55",1734,"20201104T184918","20201104T185105",107,"Rep","Rep",100,100,41,41,65,54,-11,"Rep",TRUE,63,"Kansas"
"56",307,"20201104T184925","20201104T185115",109,"Rep","Rep",60,60,31,31,100,0,-100,"Rep",TRUE,28,"New York"
"57",1543,"20201104T184816","20201104T185116",179,"Rep","Rep",100,100,51,51,88,0,-88,"Rep",TRUE,60,"North Carolina"
"58",136,"20201104T184638","20201104T185116",277,"Rep","Rep",100,100,95,95,92,35,-57,"Rep",TRUE,56,"California"
"59",1000,"20201104T185014","20201104T185116",62,"Ind","Dem",100,-100,88,12,10,10,0,"Dem",TRUE,42,"New York"
"60",1003,"20201104T185002","20201104T185121",78,"Dem","Dem",100,-100,52,48,5,4,-1,"Dem",TRUE,52,"Georgia"
"61",653,"20201104T185005","20201104T185127",82,"Ind","Dem",30,-30,71,29,27,27,0,"Dem",TRUE,29,"New Hampshire"
"62",1576,"20201104T184919","20201104T185131",132,"Dem","Dem",100,-100,98,2,4,65,61,"Rep",FALSE,33,"West Virginia"
"63",660,"20201104T184914","20201104T185132",138,"Dem","Dem",67,-67,82,18,4,11,7,"Rep",FALSE,38,"Texas"
"64",1275,"20201104T185042","20201104T185137",55,"Dem","Dem",68,-68,69,31,10,51,41,"Dem",TRUE,21,"New Jersey"
"65",885,"20201104T184819","20201104T185146",207,"Dem","Dem",100,-100,76,24,1,1,0,"Rep",FALSE,35,"Texas"
"66",234,"20201104T184919","20201104T185151",152,"Rep","Rep",100,100,50,50,10,10,0,"Dem",FALSE,36,"South Carolina"
"67",39,"20201104T185003","20201104T185153",109,"Rep","Rep",100,100,49,49,50,50,0,"Rep",TRUE,46,"Virginia"
"68",941,"20201104T185043","20201104T185154",70,"Rep","Rep",61,61,45,45,26,19,-7,"Dem",FALSE,46,"Texas"
"69",1032,"20201104T185042","20201104T185154",71,"Dem","Dem",100,-100,34,66,23,24,1,"Rep",FALSE,27,"Ohio"
"70",1073,"20201104T184844","20201104T185158",193,"Dem","Dem",97,-97,73,27,3,12,9,"Rep",FALSE,55,"Colorado"
"71",1156,"20201104T185010","20201104T185159",109,"Rep","Rep",90,90,4,4,5,5,0,"Dem",FALSE,39,"Texas"
"72",692,"20201104T185045","20201104T185201",76,"Rep","Rep",79,79,29,29,71,61,-10,"Rep",TRUE,37,"Kansas"
"73",1168,"20201104T184932","20201104T185201",149,"Rep","Rep",21,21,33,33,70,52,-18,"Dem",FALSE,68,"Delaware"
"74",1743,"20201104T185024","20201104T185205",100,"Rep","Rep",100,100,80,80,100,0,-100,"Rep",TRUE,48,"Nevada"
"75",1410,"20201104T184957","20201104T185208",130,"Ind","Dem",100,-100,72,28,4,8,4,"Rep",FALSE,30,"Colorado"
"76",1280,"20201104T185018","20201104T185211",113,"Rep","Rep",6,6,19,19,100,9,-91,"Dem",FALSE,49,"Pennsylvania"
"77",147,"20201104T185023","20201104T185217",114,"Dem","Dem",89,-89,74,26,13,50,37,"Rep",FALSE,28,"Texas"
"78",439,"20201104T185011","20201104T185219",127,"Other","Rep",95,95,40,40,70,70,0,"Dem",FALSE,36,"Nebraska"
"79",633,"20201104T184929","20201104T185223",173,"Rep","Rep",100,100,70,70,85,100,15,"Dem",FALSE,39,"Michigan"
"80",23,"20201104T185036","20201104T185224",107,"Ind","Dem",100,-100,90,10,0,80,80,"Rep",FALSE,66,"Florida"
"81",1348,"20201104T184704","20201104T185230",325,"Rep","Rep",100,100,40,40,51,83,32,"Dem",FALSE,44,"Illinois"
"82",1180,"20201104T184939","20201104T185230",171,"Dem","Dem",91,-91,70,30,4,0,-4,"Dem",TRUE,40,"Georgia"
"83",806,"20201104T185020","20201104T185230",130,"Ind","Rep",79,79,40,40,25,23,-2,"Dem",FALSE,39,"Ohio"
"84",1077,"20201104T185120","20201104T185231",71,"Ind","Dem",100,-100,74,26,60,71,11,"Rep",FALSE,22,"Connecticut"
"85",913,"20201104T185011","20201104T185231",139,"Dem","Dem",100,-100,60,40,1,2,1,"Dem",TRUE,43,"Ohio"
"86",905,"20201104T185001","20201104T185232",150,"Rep","Rep",100,100,76,76,75,71,-4,"Dem",FALSE,33,"Utah"
"87",944,"20201104T185129","20201104T185237",68,"Rep","Rep",75,75,89,89,26,13,-13,"Rep",TRUE,24,"Alabama"
"88",1267,"20201104T185103","20201104T185239",95,"Ind","Dem",55,-55,60,40,43,40,-3,"Dem",TRUE,28,"Pennsylvania"
"89",305,"20201104T185118","20201104T185242",84,"Dem","Dem",100,-100,71,29,5,0,-5,"Rep",FALSE,57,"Minnesota"
"90",1030,"20201104T184709","20201104T185246",336,"Rep","Rep",65,65,65,65,35,30,-5,"Rep",TRUE,29,"Oregon"
"91",1509,"20201104T185027","20201104T185248",140,"Ind","Dem",55,-55,51,49,2,2,0,"Rep",FALSE,32,"Arizona"
"92",1002,"20201104T185120","20201104T185253",93,"Rep","Dem",56,-56,61,39,32,74,42,"Rep",FALSE,46,"California"
"93",166,"20201104T184803","20201104T185254",291,"Dem","Dem",97,-97,88,12,15,60,45,"Rep",FALSE,45,"New York"
"94",680,"20201104T185121","20201104T185256",95,"Dem","Dem",93,-93,59,41,62,0,-62,"Dem",TRUE,32,"Wisconsin"
"95",1403,"20201104T185108","20201104T185259",110,"Rep","Rep",85,85,25,25,95,95,0,"Dem",FALSE,35,"New York"
"96",404,"20201104T184704","20201104T185300",356,"Dem","Dem",20,-20,86,14,50,38,-12,"Dem",TRUE,25,"Texas"
"97",764,"20201104T185134","20201104T185309",94,"Dem","Dem",60,-60,72,28,51,30,-21,"Dem",TRUE,25,"Texas"
"98",716,"20201104T184745","20201104T185310",324,"Dem","Dem",100,-100,80,20,5,95,90,"Rep",FALSE,26,"Connecticut"
"99",647,"20201104T185159","20201104T185325",85,"Dem","Dem",100,-100,65,35,30,72,42,"Rep",FALSE,25,"Missouri"
"100",556,"20201104T184942","20201104T185327",225,"Ind","Dem",90,-90,47,53,7,20,13,"Dem",TRUE,34,"South Carolina"
"101",370,"20201104T185053","20201104T185329",155,"Dem","Dem",90,-90,50,50,5,5,0,"Rep",FALSE,NA,NA
"102",483,"20201104T184944","20201104T185339",234,"Rep","Dem",72,-72,85,15,77,84,7,"Rep",FALSE,24,"South Dakota"
"103",1173,"20201104T185148","20201104T185342",114,"Ind","Dem",39,-39,72,28,34,32,-2,"Dem",TRUE,35,"Maryland"
"104",407,"20201104T185131","20201104T185343",132,"Dem","Dem",53,-53,84,16,16,18,2,"Dem",TRUE,31,"Ohio"
"105",880,"20201104T184931","20201104T185345",253,"Dem","Dem",100,-100,56,44,2,1,-1,"Dem",TRUE,23,"New York"
"106",1460,"20201104T184835","20201104T185349",314,"Rep","Rep",60,60,50,50,55,25,-30,"Rep",TRUE,38,"Arkansas"
"107",130,"20201104T184855","20201104T185354",299,"Ind","Rep",93,93,9,9,10,0,-10,"Rep",TRUE,61,"Pennsylvania"
"108",728,"20201104T185306","20201104T185356",50,"Dem","Other",0,NA,50,NA,5,8,3,"Dem",NA,34,"Florida"
"109",1408,"20201104T185020","20201104T185400",220,"Rep","Rep",95,95,40,40,60,75,15,"Dem",FALSE,43,"Texas"
"110",473,"20201104T185034","20201104T185403",209,"Dem","Dem",77,-77,76,24,27,19,-8,"Dem",TRUE,24,"North Carolina"
"111",1283,"20201104T185137","20201104T185403",146,"Rep","Rep",100,100,40,40,80,90,10,"Rep",TRUE,61,"Nevada"
"112",943,"20201104T185159","20201104T185404",124,"Rep","Rep",100,100,76,76,100,100,0,"Dem",FALSE,53,"Texas"
"113",1515,"20201104T185050","20201104T185404",193,"Dem","Dem",100,-100,55,45,50,73,23,"Rep",FALSE,56,"California"
"114",1345,"20201104T185237","20201104T185412",95,"Rep","Rep",90,90,68,68,38,66,28,"Rep",TRUE,44,"Virginia"
"115",1565,"20201104T185226","20201104T185412",106,"Ind","Other",100,NA,0,NA,75,56,-19,"Rep",NA,31,"Alabama"
"116",114,"20201104T185317","20201104T185416",58,"Dem","Dem",100,-100,100,0,31,0,-31,"Dem",TRUE,44,"Indiana"
"117",344,"20201104T185224","20201104T185418",114,"Dem","Dem",100,-100,100,0,0,8,8,"Dem",TRUE,57,"New Jersey"
"118",1094,"20201104T185157","20201104T185423",145,"Dem","Dem",100,-100,88,12,73,98,25,"Dem",TRUE,36,"Kentucky"
"119",1286,"20201104T185259","20201104T185428",89,"Dem","Dem",80,-80,90,10,0,20,20,"Dem",TRUE,33,"Washington"
"120",64,"20201104T184635","20201104T185428",473,"Dem","Dem",80,-80,85,15,5,0,-5,"Dem",TRUE,28,"Maryland"
"121",1674,"20201104T185313","20201104T185429",75,"Rep","Dem",77,-77,83,17,71,85,14,"Rep",FALSE,35,"Missouri"
"122",1075,"20201104T185211","20201104T185432",141,"Other","Other",100,NA,0,NA,75,35,-40,"Rep",NA,59,"New Mexico"
"123",804,"20201104T185145","20201104T185432",166,"Rep","Rep",100,100,100,100,100,31,-69,"Rep",TRUE,44,"Ohio"
"124",1765,"20201104T185025","20201104T185436",250,"Ind","Rep",100,100,60,60,100,10,-90,"Rep",TRUE,65,"Connecticut"
"125",1569,"20201104T185248","20201104T185437",109,"Other","Other",83,NA,25,NA,19,0,-19,"Rep",NA,39,"Wyoming"
"126",1429,"20201104T185256","20201104T185437",101,"Ind","Rep",100,100,50,50,54,0,-54,"Rep",TRUE,28,"New York"
"127",430,"20201104T185217","20201104T185438",141,"Dem","Dem",95,-95,70,30,5,60,55,"Rep",FALSE,31,"Illinois"
"128",1564,"20201104T185243","20201104T185443",119,"Dem","Dem",95,-95,65,35,40,90,50,"Rep",FALSE,42,"Georgia"
"129",747,"20201104T185312","20201104T185449",97,"Dem","Dem",53,-53,50,50,49,47,-2,"Dem",TRUE,38,"Illinois"
"130",220,"20201104T185219","20201104T185449",150,"Rep","Rep",100,100,50,50,100,0,-100,"Rep",TRUE,52,"Montana"
"131",612,"20201104T185242","20201104T185450",127,"Dem","Dem",94,-94,86,14,12,42,30,"Rep",FALSE,48,"New Jersey"
"132",353,"20201104T184819","20201104T185451",392,"Dem","Dem",100,-100,100,0,0,0,0,"Dem",TRUE,60,"Washington"
"133",940,"20201104T185326","20201104T185452",86,"Dem","Dem",100,-100,81,19,0,71,71,"Rep",FALSE,58,"Arizona"
"134",1294,"20201104T184924","20201104T185455",331,"Dem","Dem",100,-100,51,49,6,3,-3,"Dem",TRUE,43,"Arizona"
"135",555,"20201104T185129","20201104T185458",209,"Dem","Dem",99,-99,86,14,11,75,64,"Rep",FALSE,59,"Michigan"
"136",1479,"20201104T185133","20201104T185459",206,"Dem","Dem",100,-100,99,1,65,22,-43,"Dem",TRUE,62,"Pennsylvania"
"137",1190,"20201104T185028","20201104T185502",273,"Dem","Dem",89,-89,83,17,31,0,-31,"Dem",TRUE,39,"Arizona"
"138",1590,"20201104T185231","20201104T185506",155,"Dem","Dem",100,-100,82,18,30,8,-22,"Dem",TRUE,37,"Utah"
"139",1442,"20201104T185218","20201104T185509",170,"Rep","Rep",96,96,55,55,30,30,0,"Dem",FALSE,54,"Virginia"
"140",1637,"20201104T185403","20201104T185510",67,"Dem","Dem",100,-100,60,40,10,0,-10,"Dem",TRUE,30,"Texas"
"141",865,"20201104T185306","20201104T185510",124,"Dem","Dem",100,-100,70,30,5,0,-5,"Dem",TRUE,22,"Illinois"
"142",1389,"20201104T185259","20201104T185510",131,"Rep","Rep",98,98,8,8,35,12,-23,"Dem",FALSE,52,"New Jersey"
"143",247,"20201104T185215","20201104T185513",177,"Rep","Rep",80,80,50,50,97,77,-20,"Dem",FALSE,39,"Massachusetts"
"144",930,"20201104T185400","20201104T185532",92,"Dem","Dem",100,-100,84,16,57,78,21,"Rep",FALSE,48,"Florida"
"145",782,"20201104T185300","20201104T185533",153,"Ind","Dem",88,-88,64,36,23,46,23,"Dem",TRUE,40,"New York"
"146",629,"20201104T185420","20201104T185538",77,"Rep","Rep",71,71,55,55,73,71,-2,"Dem",FALSE,36,"California"
"147",1438,"20201104T185352","20201104T185539",107,"Ind","Dem",87,-87,81,19,14,25,11,"Rep",FALSE,32,"New Jersey"
"148",1270,"20201104T185357","20201104T185540",103,"Dem","Dem",100,-100,100,0,0,19,19,"Dem",TRUE,55,"Pennsylvania"
"149",367,"20201104T185417","20201104T185544",86,"Dem","Rep",74,74,36,36,41,62,21,"Dem",FALSE,36,"New Jersey"
"150",900,"20201104T185449","20201104T185545",56,"Dem","Dem",99,-99,61,39,41,25,-16,"Rep",FALSE,23,"Florida"
"151",1116,"20201104T185436","20201104T185555",78,"Ind","Other",81,NA,0,NA,50,50,0,"Dem",NA,40,"New Jersey"
"152",995,"20201104T185255","20201104T185556",180,"Ind","Dem",100,-100,52,48,52,100,48,"Rep",FALSE,68,"California"
"153",1620,"20201104T185254","20201104T185557",183,"Dem","Dem",77,-77,76,24,22,27,5,"Rep",FALSE,41,"California"
"154",1522,"20201104T185409","20201104T185559",109,"Rep","Rep",71,71,52,52,72,21,-51,"Rep",TRUE,38,"Florida"
"155",1751,"20201104T185459","20201104T185605",65,"Ind","Dem",100,-100,52,48,5,3,-2,"Dem",TRUE,26,"Alabama"
"156",864,"20201104T185426","20201104T185612",106,"Dem","Dem",100,-100,62,38,29,9,-20,"Rep",FALSE,55,"Indiana"
"157",1719,"20201104T185447","20201104T185614",86,"Ind","Other",95,NA,0,NA,10,15,5,"Rep",NA,47,"Florida"
"158",1172,"20201104T185452","20201104T185614",82,"Dem","Dem",100,-100,97,3,1,62,61,"Rep",FALSE,48,"Missouri"
"159",814,"20201104T185422","20201104T185616",113,"Dem","Dem",100,-100,95,5,10,15,5,"Rep",FALSE,46,"Florida"
"160",1065,"20201104T185223","20201104T185620",237,"Rep","Rep",71,71,51,51,58,48,-10,"Rep",TRUE,34,"Illinois"
"161",1249,"20201104T185356","20201104T185624",147,"Dem","Dem",100,-100,87,13,0,0,0,"Dem",TRUE,58,"Florida"
"162",466,"20201104T185332","20201104T185630",178,"Dem","Rep",85,85,40,40,100,75,-25,"Dem",FALSE,46,"Rhode Island"
"163",1247,"20201104T185256","20201104T185634",218,"Dem","Rep",60,60,68,68,40,50,10,"Dem",FALSE,40,"Texas"
"164",1521,"20201104T185433","20201104T185637",124,"Dem","Dem",92,-92,81,19,2,0,-2,"Rep",FALSE,32,"Kentucky"
"165",962,"20201104T185538","20201104T185639",61,"Dem","Dem",100,-100,90,10,0,0,0,"Dem",TRUE,31,"California"
"166",1251,"20201104T185423","20201104T185642",138,"Rep","Rep",100,100,76,76,97,3,-94,"Rep",TRUE,58,"West Virginia"
"167",898,"20201104T185250","20201104T185644",233,"Rep","Rep",80,80,33,33,69,84,15,"Dem",FALSE,35,"Tennessee"
"168",1124,"20201104T185515","20201104T185645",89,"Rep","Rep",61,61,14,14,100,3,-97,"Rep",TRUE,32,"Washington"
"169",1252,"20201104T185258","20201104T185701",242,"Dem","Dem",100,-100,95,5,50,80,30,"Rep",FALSE,55,"Texas"
"170",1627,"20201104T185251","20201104T185705",253,"Ind","Dem",100,-100,88,12,0,0,0,"Dem",TRUE,52,"Florida"
"171",1361,"20201104T185517","20201104T185716",119,"Dem","Dem",100,-100,51,49,51,51,0,"Rep",FALSE,46,"Texas"
"172",632,"20201104T185537","20201104T185719",102,"Dem","Dem",100,-100,100,0,0,100,100,"Rep",FALSE,29,"Pennsylvania"
"173",589,"20201104T185542","20201104T185727",104,"Ind","Rep",62,62,30,30,20,10,-10,"Rep",TRUE,33,"Michigan"
"174",1061,"20201104T185613","20201104T185729",75,"Dem","Dem",100,-100,71,29,14,5,-9,"Dem",TRUE,26,"Maryland"
"175",72,"20201104T185624","20201104T185736",72,"Dem","Dem",60,-60,81,19,50,51,1,"Dem",TRUE,27,"Ohio"
"176",1426,"20201104T185502","20201104T185739",157,"Dem","Dem",91,-91,88,12,18,59,41,"Rep",FALSE,31,"Michigan"
"177",1682,"20201104T185542","20201104T185739",117,"Rep","Rep",100,100,45,45,60,42,-18,"Rep",TRUE,31,"Pennsylvania"
"178",744,"20201104T185554","20201104T185754",120,"Rep","Rep",86,86,50,50,56,3,-53,"Rep",TRUE,38,"Kansas"
"179",1589,"20201104T185418","20201104T185759",220,"Rep","Rep",72,72,50,50,80,50,-30,"Dem",FALSE,50,"Georgia"
"180",12,"20201104T185657","20201104T185800",62,"Rep","Other",52,NA,0,NA,27,24,-3,"Rep",NA,29,"Maryland"
"181",1347,"20201104T185657","20201104T185804",66,"Dem","Dem",100,-100,62,38,8,6,-2,"Dem",TRUE,34,"Illinois"
"182",832,"20201104T185648","20201104T185811",83,"Dem","Dem",91,-91,98,2,0,0,0,"Rep",FALSE,44,"Virginia"
"183",495,"20201104T185608","20201104T185813",125,"Ind","Dem",100,-100,85,15,1,0,-1,"Dem",TRUE,58,"Illinois"
"184",1469,"20201104T185543","20201104T185826",163,"Rep","Rep",100,100,5,5,75,90,15,"Dem",FALSE,51,"New York"
"185",1578,"20201104T185734","20201104T185831",57,"Dem","Other",19,NA,0,NA,10,10,0,"Dem",NA,18,"California"
"186",712,"20201104T185714","20201104T185834",80,"Rep","Rep",100,100,70,70,13,26,13,"Dem",FALSE,41,"Kentucky"
"187",667,"20201104T185139","20201104T185836",417,"Ind","Rep",65,65,50,50,90,30,-60,"Rep",TRUE,57,"Minnesota"
"188",510,"20201104T185745","20201104T185837",52,"Dem","Dem",83,-83,89,11,86,62,-24,"Rep",FALSE,29,"Connecticut"
"189",554,"20201104T185706","20201104T185840",93,"Rep","Rep",100,100,51,51,90,95,5,"Dem",FALSE,45,"Texas"
"190",1026,"20201104T185045","20201104T185847",482,"Ind","Rep",50,50,50,50,9,11,2,"Dem",FALSE,70,"Florida"
"191",181,"20201104T185714","20201104T185911",116,"Ind","Dem",100,-100,95,5,5,0,-5,"Rep",FALSE,36,"Alabama"
"192",1317,"20201104T185732","20201104T185912",99,"Dem","Dem",100,-100,98,2,1,1,0,"Dem",TRUE,33,"Missouri"
"193",98,"20201104T185731","20201104T185912",101,"Ind","Dem",69,-69,81,19,18,0,-18,"Dem",TRUE,25,"North Carolina"
"194",228,"20201104T185756","20201104T185919",83,"Dem","Dem",100,-100,80,20,10,0,-10,"Dem",TRUE,32,NA
"195",1309,"20201104T185616","20201104T185920",183,"Rep","Rep",100,100,51,51,72,70,-2,"Dem",FALSE,73,"Tennessee"
"196",1596,"20201104T185749","20201104T185920",91,"Rep","Dem",100,-100,78,22,4,0,-4,"Dem",TRUE,49,"California"
"197",914,"20201104T185721","20201104T185926",124,"Ind","Dem",72,-72,86,14,4,8,4,"Rep",FALSE,49,"Iowa"
"198",240,"20201104T185823","20201104T185926",62,"Rep","Rep",100,100,5,5,66,10,-56,"Rep",TRUE,38,"Pennsylvania"
"199",99,"20201104T185817","20201104T185939",81,"Ind","Dem",40,-40,80,20,50,95,45,"Rep",FALSE,32,"Tennessee"
"200",1001,"20201104T185729","20201104T185943",134,"Dem","Dem",100,-100,91,9,9,81,72,"Rep",FALSE,35,"Maryland"
"201",1686,"20201104T185708","20201104T185945",156,"Rep","Rep",70,70,63,63,57,10,-47,"Rep",TRUE,64,"Georgia"
"202",1145,"20201104T185806","20201104T185955",108,"Dem","Dem",100,-100,75,25,35,0,-35,"Dem",TRUE,38,"Missouri"
"203",700,"20201104T185655","20201104T185955",179,"Dem","Dem",92,-92,99,1,14,0,-14,"Dem",TRUE,29,"California"
"204",789,"20201104T185600","20201104T190009",248,"Dem","Dem",91,-91,80,20,15,19,4,"Rep",FALSE,54,"Ohio"
"205",474,"20201104T185535","20201104T190010",275,"Dem","Dem",100,-100,86,14,1,0,-1,"Dem",TRUE,59,"North Carolina"
"206",852,"20201104T185825","20201104T190017",111,"Ind","Other",81,NA,5,NA,18,24,6,"Rep",NA,30,"Kansas"
"207",871,"20201104T185644","20201104T190022",217,"Rep","Rep",69,69,78,78,83,82,-1,"Dem",FALSE,40,"Texas"
"208",1043,"20201104T185907","20201104T190025",78,"Dem","Dem",100,-100,95,5,15,75,60,"Rep",FALSE,37,"Pennsylvania"
"209",1134,"20201104T185817","20201104T190026",129,"Dem","Dem",100,-100,88,12,0,70,70,"Rep",FALSE,48,"Missouri"
"210",1350,"20201104T185918","20201104T190029",70,"Rep","Rep",100,100,3,3,100,100,0,"Dem",FALSE,46,"Wisconsin"
